,date,id,content,retweetCount,likeCount,place,inReplyToTweetId,retweetedTweet,coordinates,hashtags,lang
257,2022-11-20 15:31:45+00:00,1594352805032206338,"Pourquoi maluma myriam fares et Nicki Minaj ne chantent pas alors que c’est l’hymne officiel ? Ils chantent quand ?
#coupedumonde2022 #CoupeDuMonde",0,2,,,,,"['coupedumonde2022', 'CoupeDuMonde']",fr
258,2022-11-20 15:30:29+00:00,1594352488869756928,"📸🇶🇦🔥Mêlant tradition qatarienne et culture universelle, le Qatar lance son Mondial avec une cérémonie d’ouverture haute en couleur et en musique.
#hespress #hespressfr
#cérémoniedouverture #coupedumonde #qatar2022 https://t.co/ptZ781cOkY",1,5,,,,,"['hespress', 'hespressfr', 'cérémoniedouverture', 'coupedumonde', 'qatar2022']",fr
259,2022-11-20 15:30:03+00:00,1594352380228894730,"Toute l'équipe de Rochat Immobilier soutient l'équipe de France de football 🇫🇷 
Nous espérons revoir l'équipe de France en finale. 🏆🥇
🇫🇷 Allez les bleus 🇫🇷
#equipedefrance #football #cdm2022 #coupedumonde #bleus #allezlesbleus #rochat #rochatimmobilier #lyon #immobilier https://t.co/rIXSXz0ZWv",0,0,,,,,"['equipedefrance', 'football', 'cdm2022', 'coupedumonde', 'bleus', 'allezlesbleus', 'rochat', 'rochatimmobilier', 'lyon', 'immobilier']",fr
260,2022-11-20 15:30:00+00:00,1594352364605116417,Avoir comme nom freeman et se trouver là y a un gros problème ou un gros chèque...#MorganFreeman  #QatarWorldCup2022 #coupedumonde2022 #CoupeDuMonde,0,0,,,,,"['MorganFreeman', 'QatarWorldCup2022', 'coupedumonde2022', 'CoupeDuMonde']",fr
261,2022-11-20 15:29:56+00:00,1594352351774904321,Allez-vous boycotter la #coupedumonde2022 #CoupeDuMonde,2,0,,,,,"['coupedumonde2022', 'CoupeDuMonde']",fr
262,2022-11-20 15:29:21+00:00,1594352204437065729,Etes vous proches de l'équipe de #France? #coupedumonde2022 #CoupeDuMonde https://t.co/ELZq25Qn0c https://t.co/uuAffKDmEL,0,0,,,,,"['France', 'coupedumonde2022', 'CoupeDuMonde']",fr
263,2022-11-20 15:28:36+00:00,1594352015974404096,"#CoupeduMonde | 📸 Quelques images de la cérémonie d'ouverture de la Coupe du Monde Qatar 2022 🏆

#WorldCup #Qatar2022 https://t.co/4e08s6RO5j",0,0,,,,,"['CoupeduMonde', 'WorldCup', 'Qatar2022']",fr
264,2022-11-20 15:28:19+00:00,1594351942758801409,"#CoupeduMonde | 📸 Quelques images de la cérémonie d'ouverture de la Coupe du Monde Qatar 2022 🏆

#WorldCup #Qatar2022 https://t.co/rKeN7XIz1c",0,0,,,,,"['CoupeduMonde', 'WorldCup', 'Qatar2022']",fr
265,2022-11-20 15:27:51+00:00,1594351826346061824,"#CoupeduMonde | 📸 Quelques images de la cérémonie d'ouverture de la Coupe du Monde Qatar 2022 🏆

#WorldCup #Qatar2022 https://t.co/KLNzFVIDDj",0,0,,,,,"['CoupeduMonde', 'WorldCup', 'Qatar2022']",fr
266,2022-11-20 15:27:00+00:00,1594351612008480769,#Qatar 2022: une #CoupeDuMonde évidemment (géo)#politique – par Théo R. et Mathurin S. https://t.co/lp8wRZKiGJ,0,0,,,,,"['Qatar', 'CoupeDuMonde', 'politique']",fr
267,2022-11-20 15:25:57+00:00,1594351345905336320,"#CoupeduMonde | 📸 Quelques images de la cérémonie d'ouverture de la Coupe du Monde Qatar 2022 🏆

#WorldCup #Qatar2022 https://t.co/c1PwHFpRMj",0,2,,,,,"['CoupeduMonde', 'WorldCup', 'Qatar2022']",fr
268,2022-11-20 15:25:32+00:00,1594351243006296066,"#CoupeDuMonde 🇶🇦
W// @PronosJosh 

👕 Qatar 🇶🇦 - Équateur 🇪🇨 
👟 Enner Valencia / Almoez Ali (@ 2.10 - B) 

Peu de but attendu mais je vois bien les 2 attaquants de pointe s’illustrer un moment ou un autre. https://t.co/jbsn078dwc",0,5,,,,,['CoupeDuMonde'],fr
269,2022-11-20 15:23:31+00:00,1594350735902347267,"Par contre du BTS à la CDM&gt;&gt;&gt; 
#Qatar2022 #coupedumonde2022 #CoupeDuMonde #QatarWorldCup2022 #CDM2022",0,5,,,,,"['Qatar2022', 'coupedumonde2022', 'CoupeDuMonde', 'QatarWorldCup2022', 'CDM2022']",fr
270,2022-11-20 15:22:55+00:00,1594350585490595841,"Le calendrier complet de la Coupe du Monde au Qatar. ⚽️ 🏆 🇶🇦

#Qatar2022 #WorldCup2022 #WC #CoupeDuMonde #CDM #FIFA https://t.co/UyAQAmHoCN",2,1,,,,,"['Qatar2022', 'WorldCup2022', 'WC', 'CoupeDuMonde', 'CDM', 'FIFA']",fr
271,2022-11-20 15:21:39+00:00,1594350266236555264,"⚽️ | DIFFUSION EN DIRECT COUPE DU MONDE !

Nous allons stream tous les matchs de la coupe du monde !

📢 | Qatar - Équateur ( 17h00)

https://t.co/S2JUgbyi5C

#CDM #Mondial #Coupedumonde #qatar #equateur #football",0,0,,,,,"['CDM', 'Mondial', 'Coupedumonde', 'qatar', 'equateur', 'football']",fr
